340,Future Retail Ltd.,29/06/2020,90,148.5,B
341,Future Retail Ltd.,29/06/2020,100,149.55,S
342,BALAJI TELEFILMS LTD.,02/07/2020,18,78.35,S
343,BALAJI TELEFILMS LTD.,02/07/2020,99,78.15,S
344,BALAJI TELEFILMS LTD.,02/07/2020,155,78.1,S
345,INDUSIND BANK LTD.,06/07/2020,60,506,S
346,Future Retail Ltd.,06/07/2020,100,129.75,B
347,VOLTAS LTD.,07/07/2020,67,575,S
348,VOLTAS LTD.,07/07/2020,23,575,S
349,BALAJI TELEFILMS LTD.,07/07/2020,100,76.45,B
350,BALAJI TELEFILMS LTD.,07/07/2020,100,79,S
351,PVR LTD.,07/07/2020,10,1080,S
352,Future Retail Ltd.,07/07/2020,100,123.3,B
353,Indian Railway Catering and To,07/07/2020,10,1396.45,B
